"FMTNAME","START","LABEL"
"msa5yr13X",29540,"Lancaster, PA"
"msa5yr13X",29620,"Lansing-East Lansing, MI"
"msa5yr13X",29700,"Laredo, TX"
"msa5yr13X",29740,"Las Cruces, NM"
"msa5yr13X",29820,"Las Vegas-Henderson-Paradise, NV"
"msa5yr13X",29940,"Lawrence, KS"
"msa5yr13X",30020,"Lawton, OK~"
"msa5yr13X",30340,"Lewiston-Auburn, ME~"
"msa5yr13X",30460,"Lexington-Fayette, KY"
"msa5yr13X",30780,"Little Rock-North Little Rock-Conway, AR"
"msa5yr13X",30980,"Longview, TX"
"msa5yr13X",31080,"Los Angeles-Long Beach-Anaheim, CA"
"msa5yr13X",31140,"Louisville/Jefferson County, KY-IN~"
"msa5yr13X",31180,"Lubbock, TX~"
"msa5yr13X",31340,"Lynchburg, VA"
"msa5yr13X",31420,"Macon, GA"
"msa5yr13X",31460,"Madera, CA"
"msa5yr13X",31540,"Madison, WI~"
"msa5yr13X",31700,"Manchester-Nashua, NH~"
"msa5yr13X",32580,"McAllen-Edinburg-Mission, TX"
"msa5yr13X",32780,"Medford, OR"
"msa5yr13X",32820,"Memphis, TN-MS-AR~"
"msa5yr13X",32900,"Merced, CA"
"msa5yr13X",33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
"msa5yr13X",33140,"Michigan City-La Porte, IN"
"msa5yr13X",33260,"Midland, TX~"
"msa5yr13X",33340,"Milwaukee-Waukesha-West Allis, WI"
"msa5yr13X",33460,"Minneapolis-St. Paul-Bloomington, MN-WI~"
"msa5yr13X",33660,"Mobile, AL"
"msa5yr13X",33700,"Modesto, CA"
"msa5yr13X",33740,"Monroe, LA"
"msa5yr13X",33780,"Monroe, MI"
"msa5yr13X",33860,"Montgomery, AL"
"msa5yr13X",34060,"Morgantown, WV"
"msa5yr13X",34580,"Mount Vernon-Anacortes, WA"
"msa5yr13X",34740,"Muskegon, MI"
"msa5yr13X",34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC~"
"msa5yr13X",34900,"Napa, CA"
"msa5yr13X",34940,"Naples-Immokalee-Marco Island, FL"
"msa5yr13X",34980,"Nashville-Davidson-Murfreesboro-Franklin, TN~"
"msa5yr13X",35300,"New Haven-Milford, CT~"
"msa5yr13X",35380,"New Orleans-Metairie, LA~"
"msa5yr13X",35620,"New York-Newark-Jersey City, NY-NJ-PA~"
"msa5yr13X",35660,"Niles-Benton Harbor, MI"
"msa5yr13X",35840,"North Port-Sarasota-Bradenton, FL"
